ts,T_int,T_int_true,T_set,P_hvac,P_lighting,P_plug,P_total,hvac_state,lighting_state,zone_id
2025-03-01 00:00:00+00:00,25.86711145255223,25.949855824363645,18.0,63.59884659490916,0.0,2.2,65.79884659490916,1,0,brick:Room_101
2025-03-01 00:15:00+00:00,25.589329501443945,25.63733181620792,18.0,63.59884659490916,0.0,2.2,65.79884659490916,1,0,brick:Room_101
2025-03-01 00:30:00+00:00,25.329131996459875,25.33526744313966,18.0,61.09865452966335,0.0,2.2,63.29865452966335,1,0,brick:Room_101
2025-03-01 00:45:00+00:00,25.047462173284103,25.04279355457027,18.0,58.68213954511728,0.0,2.2,60.88213954511728,1,0,brick:Room_101
2025-03-01 01:00:00+00:00,24.702621048687377,24.75913123492107,18.0,56.34234843656216,0.0,2.2,58.542348436562165,1,0,brick:Room_101
2025-03-01 01:15:00+00:00,24.60417100087429,24.483587167095376,18.0,54.07304987936857,0.0,2.2,56.27304987936857,1,0,brick:Room_101
2025-03-01 01:30:00+00:00,24.463511673322337,24.387691970559658,22.0,19.86869733676301,3.0,2.7,25.568697336763005,1,1,brick:Room_101
2025-03-01 01:45:00+00:00,24.14627874654896,24.116172830529337,18.0,51.10153576447726,0.0,2.2,53.30153576447727,1,0,brick:Room_101
2025-03-01 02:00:00+00:00,23.855397320032168,23.85179547696798,18.0,48.92938264423469,0.0,2.2,51.129382644234695,1,0,brick:Room_101
2025-03-01 02:15:00+00:00,23.58351585291634,23.5941263014114,18.0,46.81436381574383,0.0,2.2,49.01436381574384,1,0,brick:Room_101
2025-03-01 02:30:00+00:00,23.46805925094251,23.51565517394362,22.0,12.753010411291172,3.0,3.2,18.95301041129117,1,1,brick:Room_101
2025-03-01 02:45:00+00:00,23.26374180088432,23.259867774958376,18.0,44.12524139154897,0.0,2.2,46.32524139154897,1,0,brick:Room_101
2025-03-01 03:00:00+00:00,23.02339384890632,23.01050622189918,18.0,42.07894219966701,0.0,2.2,44.27894219966701,1,0,brick:Room_101
2025-03-01 03:15:00+00:00,22.70525067433012,22.7673387031042,18.0,40.08404977519345,0.0,2.2,42.28404977519345,1,0,brick:Room_101
2025-03-01 03:30:00+00:00,22.546894609232314,22.53018578837007,18.0,38.13870962483361,0.0,2.2,40.33870962483361,1,0,brick:Room_101
2025-03-01 03:45:00+00:00,22.29115345418157,22.29891640662281,18.0,36.24148630696055,0.0,2.2,38.44148630696056,1,0,brick:Room_101
2025-03-01 04:00:00+00:00,21.97805352947619,22.07344390737006,18.0,34.39133125298247,0.0,2.2,36.59133125298247,1,0,brick:Room_101
2025-03-01 04:15:00+00:00,21.810702954601595,21.85372220514057,18.0,32.587551258960474,0.0,2.2,34.78755125896048,1,0,brick:Room_101
2025-03-01 04:30:00+00:00,21.61906173016263,21.639742006833718,18.0,30.829777641124565,0.0,2.2,33.02977764112457,1,0,brick:Room_101
2025-03-01 04:45:00+00:00,21.52591150542088,21.431527122553867,18.0,29.117936054669716,0.0,2.2,31.317936054669712,1,0,brick:Room_101
2025-03-01 05:00:00+00:00,21.256958517319628,21.22913086109294,18.0,27.452216980430933,0.0,2.2,29.65221698043093,1,0,brick:Room_101
2025-03-01 05:15:00+00:00,20.965858433295374,21.032632511750368,18.0,25.833046888743525,0.0,2.2,28.033046888743524,1,0,brick:Room_101
2025-03-01 05:30:00+00:00,20.86643572911558,20.842133914644695,18.0,24.261060094002943,0.0,2.2,26.461060094002946,1,0,brick:Room_101
2025-03-01 05:45:00+00:00,20.580390922629054,20.657756122075973,18.0,22.737071317157582,0.0,2.2,24.937071317157585,1,0,brick:Room_101
2025-03-01 06:00:00+00:00,20.53377070653872,20.479636153844364,18.0,21.262048976607787,0.0,2.2,23.462048976607782,1,0,brick:Room_101
2025-03-01 06:15:00+00:00,20.28436761712903,20.307923849719923,18.0,19.837089230754916,0.0,2.2,22.037089230754912,1,0,brick:Room_101
2025-03-01 06:30:00+00:00,20.13809701305485,20.14277882249181,18.0,18.463390797759388,0.0,2.2,20.663390797759387,1,0,brick:Room_101
2025-03-01 06:45:00+00:00,20.050657347581964,19.984367515204852,18.0,17.142230579934477,0.0,2.2,19.34223057993448,1,0,brick:Room_101
2025-03-01 07:00:00+00:00,19.76850218788912,19.83286036631833,18.0,15.874940121638843,0.0,2.2,18.074940121638843,1,0,brick:Room_101
2025-03-01 07:15:00+00:00,19.790716034485097,19.860571943740748,22.0,17.33711706945337,3.0,2.7,23.03711706945337,1,1,brick:Room_101
2025-03-01 07:30:00+00:00,19.68375541179228,19.71293537810958,18.0,14.884575549925984,0.0,2.2,17.084575549925983,1,0,brick:Room_101
2025-03-01 07:45:00+00:00,19.625265109104877,19.573346166553907,18.0,13.703483024876649,0.0,2.2,15.903483024876646,1,0,brick:Room_101
2025-03-01 08:00:00+00:00,19.5381016995315,19.614069003305342,22.0,19.41323066756874,3.0,2.7,25.11323066756874,1,1,brick:Room_101
2025-03-01 08:15:00+00:00,19.33887461317154,19.480482393077068,18.0,12.91255202644274,0.0,2.2,15.11255202644274,1,0,brick:Room_101
2025-03-01 08:30:00+00:00,19.33336475010146,19.35592269302191,18.0,11.843859144616545,0.0,2.2,14.043859144616544,1,0,brick:Room_101
2025-03-01 08:45:00+00:00,19.26803538346144,19.240448343465896,18.0,10.847381544175278,0.0,2.2,13.047381544175275,1,0,brick:Room_101
2025-03-01 09:00:00+00:00,19.194120803207607,19.134107715720667,18.0,9.923586747727173,0.0,2.2,12.12358674772717,1,0,brick:Room_101
2025-03-01 09:15:00+00:00,19.18592194324055,19.20908001134482,22.0,22.927138274234665,3.0,2.7,28.627138274234664,1,1,brick:Room_101
2025-03-01 09:30:00+00:00,19.090079172519395,19.110650502875195,18.0,9.672640090758565,0.0,2.2,11.872640090758562,1,0,brick:Room_101
2025-03-01 09:45:00+00:00,19.07975022141524,19.02205518470245,18.0,8.885204023001563,0.0,2.2,11.085204023001562,1,0,brick:Room_101
2025-03-01 10:00:00+00:00,18.84975854554089,18.943245630525663,18.0,8.176441477619619,0.0,2.2,10.376441477619618,1,0,brick:Room_101
2025-03-01 10:15:00+00:00,18.8547314450193,18.87415748377845,18.0,7.545965044205303,0.0,2.2,9.745965044205304,1,0,brick:Room_101
2025-03-01 10:30:00+00:00,18.998516065010183,18.98899487051393,22.0,25.0067401297724,0.0,4.2,29.206740129772395,1,0,brick:Room_101
2025-03-01 10:45:00+00:00,18.95096571380648,18.92850477774223,18.0,7.911958964111477,0.0,2.2,10.111958964111476,1,0,brick:Room_101
2025-03-01 11:00:00+00:00,18.85258739541389,18.87807773007344,18.0,7.42803822193784,0.0,2.2,9.62803822193784,1,0,brick:Room_101
2025-03-01 11:15:00+00:00,18.839257370325043,18.83753531973975,18.0,7.024621840587514,0.0,2.2,9.224621840587512,1,0,brick:Room_101
2025-03-01 11:30:00+00:00,18.68226438609015,18.8066807537608,18.0,6.700282557918001,0.0,2.2,8.900282557918,1,0,brick:Room_101
2025-03-01 11:45:00+00:00,18.75238582238375,18.785298243000444,18.0,6.453446030086383,0.0,2.2,8.653446030086382,1,0,brick:Room_101
2025-03-01 12:00:00+00:00,18.79582799645249,18.77315256082477,18.0,6.282385944003551,0.0,2.2,8.48238594400355,1,0,brick:Room_101
2025-03-01 12:15:00+00:00,18.720874066180023,18.76998876789276,18.0,6.185220486598155,0.0,2.2,8.385220486598154,1,0,brick:Room_101
2025-03-01 12:30:00+00:00,18.778481310304517,18.775532099225035,18.0,6.159910143142071,0.0,2.2,8.35991014314207,1,0,brick:Room_101
2025-03-01 12:45:00+00:00,18.81183163434684,18.7894880093067,18.0,6.204256793800283,0.0,2.2,8.404256793800283,1,0,brick:Room_101
2025-03-01 13:00:00+00:00,18.794414910547754,18.811542370590644,18.0,6.315904074453613,0.0,2.2,8.515904074453612,1,0,brick:Room_101
2025-03-01 13:15:00+00:00,18.849885008930237,18.841361820380403,18.0,6.49233896472515,0.0,2.2,8.692338964725149,1,0,brick:Room_101
