ts,Occupancy_Level,Plug_Power_Sensor,Total_Power_Sensor,Weather_GHI_Sensor,Weather_RH_Sensor,Weather_Temp_Sensor,Weather_Wind_Sensor,HVAC_Power_Sensor,HVAC_State,Lighting_Power_Sensor,Lighting_State,Occupancy_Sensor,Zone_Temp_Sensor,Zone_Temp_Setpoint,BIM_area_m2,BIM_height_m,BIM_length_m,BIM_max_occupancy,BIM_target_occupancy_rate,BIM_use_type,BIM_volume_m3,BIM_width_m
2025-03-01 00:00:00+00:00,low,2.2,65.79884659490916,0.0,77.0,10.0,16.2,63.59884659490916,1,0.0,0,0,25.86711145255223,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 00:15:00+00:00,low,2.2,65.79884659490916,0.0,80.5,9.85,15.325,63.59884659490916,1,0.0,0,0,25.589329501443945,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 00:30:00+00:00,low,2.2,63.29865452966335,0.0,84.0,9.7,14.45,61.09865452966335,1,0.0,0,0,25.329131996459875,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 00:45:00+00:00,low,2.2,60.88213954511728,0.0,87.5,9.55,13.575,58.68213954511728,1,0.0,0,0,25.047462173284103,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 01:00:00+00:00,low,2.2,58.542348436562165,0.0,91.0,9.4,12.7,56.34234843656216,1,0.0,0,0,24.702621048687377,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 01:15:00+00:00,low,2.2,56.27304987936857,0.0,91.75,9.475,13.125,54.07304987936857,1,0.0,0,0,24.60417100087429,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 01:30:00+00:00,low,2.7,25.568697336763005,0.0,92.5,9.55,13.55,19.86869733676301,1,3.0,1,0,24.463511673322337,22.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 01:45:00+00:00,low,2.2,53.30153576447727,0.0,93.25,9.625,13.975,51.10153576447726,1,0.0,0,0,24.14627874654896,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 02:00:00+00:00,low,2.2,51.129382644234695,0.0,94.0,9.7,14.4,48.92938264423469,1,0.0,0,0,23.855397320032168,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 02:15:00+00:00,low,2.2,49.01436381574384,0.0,94.0,9.7,14.6,46.81436381574383,1,0.0,0,0,23.58351585291634,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 02:30:00+00:00,low,3.2,18.95301041129117,0.0,94.0,9.7,14.8,12.753010411291172,1,3.0,1,0,23.46805925094251,22.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 02:45:00+00:00,low,2.2,46.32524139154897,0.0,94.0,9.7,15.0,44.12524139154897,1,0.0,0,0,23.26374180088432,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 03:00:00+00:00,low,2.2,44.27894219966701,0.0,94.0,9.7,15.2,42.07894219966701,1,0.0,0,0,23.02339384890632,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 03:15:00+00:00,low,2.2,42.28404977519345,0.0,94.5,9.6,14.925,40.08404977519345,1,0.0,0,0,22.70525067433012,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 03:30:00+00:00,low,2.2,40.33870962483361,0.0,95.0,9.5,14.65,38.13870962483361,1,0.0,0,0,22.546894609232314,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 03:45:00+00:00,low,2.2,38.44148630696056,0.0,95.5,9.4,14.375,36.24148630696055,1,0.0,0,0,22.29115345418157,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
2025-03-01 04:00:00+00:00,low,2.2,36.59133125298247,0.0,96.0,9.3,14.1,34.39133125298247,1,0.0,0,0,21.97805352947619,18.0,48.0,3.0,8.0,20,0.75,Classroom,144.0,6.0
