ts,zone_id,temp_int_c,rh_int_pct,co2_ppm,pir_bin,power_total_kw
2025-03-01 00:00:00+00:00,brick:Room_101,23.133033108514596,52.57540905760193,431.6768490472866,0,2.293147890107712
2025-03-01 00:15:00+00:00,brick:Room_101,22.821463111385846,53.22099729217053,431.4941936862823,0,2.1361491560234467
2025-03-01 00:30:00+00:00,brick:Room_101,22.374734786236107,51.87307847672891,503.02483914612776,0,1.735709631093945
2025-03-01 00:45:00+00:00,brick:Room_101,22.672721152625797,52.28051607831466,474.4461891163583,0,2.0492905323821806
2025-03-01 01:00:00+00:00,brick:Room_101,22.58314887296507,52.75816491904455,400.0,0,1.8858569974515997
2025-03-01 01:15:00+00:00,brick:Room_101,22.450824857276512,54.473154747772845,435.8685315197399,0,1.8257108276753984
2025-03-01 01:30:00+00:00,brick:Room_101,23.046419713213428,55.45750011258874,819.4216261109444,1,5.6146156325323675
2025-03-01 01:45:00+00:00,brick:Room_101,21.970148206512928,54.118629095869224,426.2327326646186,0,1.582305071459235
2025-03-01 02:00:00+00:00,brick:Room_101,22.10203241581757,56.08955477635246,400.0,0,1.5794521463991023
2025-03-01 02:15:00+00:00,brick:Room_101,22.04806986841141,55.54059454637837,446.57526055765146,0,1.2874817404038668
2025-03-01 02:30:00+00:00,brick:Room_101,22.072159477958923,55.63401422072538,796.172814070963,1,4.839719043581031
2025-03-01 02:45:00+00:00,brick:Room_101,21.65776712985559,55.9168808563152,451.497631419911,0,1.550490214134325
2025-03-01 03:00:00+00:00,brick:Room_101,21.406734935143806,57.448847908137715,409.3719685279369,0,1.4185467080421315
2025-03-01 03:15:00+00:00,brick:Room_101,21.344892668428432,57.31933017196346,452.072796329301,0,1.3954587809792856
2025-03-01 03:30:00+00:00,brick:Room_101,21.28678460780057,60.02709110736771,439.62709304699183,0,1.4888110984487886
2025-03-01 03:45:00+00:00,brick:Room_101,21.042338334944965,56.63106256971722,487.5488241297149,0,1.5515396302767324
2025-03-01 04:00:00+00:00,brick:Room_101,20.898643788125757,58.62172204243597,485.28392154364064,0,1.284547131444126
2025-03-01 04:15:00+00:00,brick:Room_101,20.893982396583997,57.6983801863438,469.63364007525706,0,1.582519272182682
2025-03-01 04:30:00+00:00,brick:Room_101,20.61939025115314,57.60942418966595,441.8346554834697,0,1.3799560077588935
2025-03-01 04:45:00+00:00,brick:Room_101,20.518434600467085,58.94303432615845,499.6345098815073,0,1.49731080476253
2025-03-01 05:00:00+00:00,brick:Room_101,20.68769243007038,59.40746366240773,411.17411805400445,0,1.4946869788962736
2025-03-01 05:15:00+00:00,brick:Room_101,20.32400127976825,63.01284711094598,414.9110342609084,0,1.420940082264034
2025-03-01 05:30:00+00:00,brick:Room_101,20.513240194553912,59.539145062927574,447.9054225027734,0,1.346451038080393
2025-03-01 05:45:00+00:00,brick:Room_101,20.406449469323004,58.63260319843365,506.350952723028,0,1.4571470177861605
2025-03-01 06:00:00+00:00,brick:Room_101,20.009078183112532,60.523765283699895,444.9415273282478,0,1.7437995463612792
2025-03-01 06:15:00+00:00,brick:Room_101,20.104619819084277,57.89166840414049,445.41886891976793,0,1.2957487454304553
