ts,zone_id,T_int,T_int_true,hvac_state,lighting_state,T_set,P_hvac,P_lighting,P_plug,P_total
2025-03-01 00:00:00+00:00,brick:Room_101,25.86711145255223,25.949855824363645,1,0,18.0,63.59884659490916,0.0,2.2,65.79884659490916
2025-03-01 00:15:00+00:00,brick:Room_101,25.589329501443945,25.63733181620792,1,0,18.0,63.59884659490916,0.0,2.2,65.79884659490916
2025-03-01 00:30:00+00:00,brick:Room_101,25.329131996459875,25.33526744313966,1,0,18.0,61.09865452966335,0.0,2.2,63.29865452966335
2025-03-01 00:45:00+00:00,brick:Room_101,25.047462173284103,25.04279355457027,1,0,18.0,58.68213954511728,0.0,2.2,60.88213954511728
2025-03-01 01:00:00+00:00,brick:Room_101,24.702621048687377,24.75913123492107,1,0,18.0,56.34234843656216,0.0,2.2,58.542348436562165
2025-03-01 01:15:00+00:00,brick:Room_101,24.604171000874295,24.483587167095376,1,0,18.0,54.07304987936857,0.0,2.2,56.27304987936857
2025-03-01 01:30:00+00:00,brick:Room_101,24.463511673322337,24.387691970559658,1,1,22.0,19.868697336763006,3.0,2.7,25.568697336763005
2025-03-01 01:45:00+00:00,brick:Room_101,24.146278746548962,24.116172830529337,1,0,18.0,51.10153576447726,0.0,2.2,53.301535764477265
2025-03-01 02:00:00+00:00,brick:Room_101,23.855397320032168,23.85179547696798,1,0,18.0,48.92938264423469,0.0,2.2,51.129382644234695
2025-03-01 02:15:00+00:00,brick:Room_101,23.58351585291634,23.594126301411396,1,0,18.0,46.81436381574383,0.0,2.2,49.014363815743835
2025-03-01 02:30:00+00:00,brick:Room_101,23.46805925094251,23.51565517394362,1,1,22.0,12.753010411291172,3.0,3.2,18.95301041129117
2025-03-01 02:45:00+00:00,brick:Room_101,23.26374180088432,23.259867774958376,1,0,18.0,44.12524139154897,0.0,2.2,46.32524139154897
2025-03-01 03:00:00+00:00,brick:Room_101,23.02339384890632,23.01050622189918,1,0,18.0,42.07894219966701,0.0,2.2,44.278942199667014
2025-03-01 03:15:00+00:00,brick:Room_101,22.70525067433012,22.7673387031042,1,0,18.0,40.08404977519345,0.0,2.2,42.28404977519345
2025-03-01 03:30:00+00:00,brick:Room_101,22.546894609232314,22.53018578837007,1,0,18.0,38.13870962483361,0.0,2.2,40.33870962483361
2025-03-01 03:45:00+00:00,brick:Room_101,22.291153454181572,22.29891640662281,1,0,18.0,36.24148630696055,0.0,2.2,38.441486306960556
2025-03-01 04:00:00+00:00,brick:Room_101,21.97805352947619,22.07344390737006,1,0,18.0,34.39133125298247,0.0,2.2,36.59133125298247
2025-03-01 04:15:00+00:00,brick:Room_101,21.810702954601595,21.85372220514057,1,0,18.0,32.587551258960474,0.0,2.2,34.78755125896048
2025-03-01 04:30:00+00:00,brick:Room_101,21.61906173016263,21.639742006833714,1,0,18.0,30.829777641124565,0.0,2.2,33.02977764112457
2025-03-01 04:45:00+00:00,brick:Room_101,21.525911505420876,21.431527122553867,1,0,18.0,29.117936054669713,0.0,2.2,31.317936054669712
2025-03-01 05:00:00+00:00,brick:Room_101,21.256958517319628,21.22913086109294,1,0,18.0,27.452216980430933,0.0,2.2,29.652216980430932
2025-03-01 05:15:00+00:00,brick:Room_101,20.965858433295374,21.032632511750368,1,0,18.0,25.833046888743525,0.0,2.2,28.033046888743524
2025-03-01 05:30:00+00:00,brick:Room_101,20.86643572911558,20.842133914644698,1,0,18.0,24.261060094002943,0.0,2.2,26.461060094002942
2025-03-01 05:45:00+00:00,brick:Room_101,20.580390922629054,20.657756122075973,1,0,18.0,22.737071317157586,0.0,2.2,24.937071317157585
2025-03-01 06:00:00+00:00,brick:Room_101,20.533770706538718,20.479636153844364,1,0,18.0,21.262048976607787,0.0,2.2,23.462048976607786
